source_id,participant,class,title,url,used_for,note
S011,Havas Creative Tours,official,Home / DMC Brazil,https://havasbrazil.com.br/,C2;C3;C4;C6;C8,"Многоязычная команда, coverage all Brazil, актуальный календарь MICE 2026."
S012,Havas Creative Tours,official,Contact / B2B model,https://havasbrazil.com.br/pt/contato/,C2;C7,"Работает B2B с travel agencies и tour operators worldwide; multilingual professionals."
S013,Blumar,official,DMC & Incoming Tour Operator in Brazil,https://www.blumar.com.br/,C2;C3;C4;C5;C6;C7;C8,"40+ лет, customized programs, incentive trips, corporate groups, travel trade и corporate clients."
S014,Blumar,official,MICE in Brazil: Complete Guide 2026,https://www.blumar.com.br/blog/post.php/mice-in-brazil-the-complete-guide-to-meetings-incentives-conferences-and-events-in-2026,C6;C8,"Актуальная профессиональная MICE-публикация 2026."
S015,Brazil Sensations,independent_award,Brazil's Best MICE Organiser,https://worldmiceawards.com/award/brazil-best-mice-organiser,C6;C8,"Победитель Brazil's Best MICE Organiser 2024 и 2025."
S016,Brazil Sensations,independent_award,Brazil's Best MICE Organiser 2025,https://worldmiceawards.com/award/brazil-best-mice-organiser/2025,C3;C4;C6;C7;C8,"Corporate, incentive, family, individual and group travel; external award context."
S017,Brazil Destination Marketing,official,About / Trade Mission / Congress & Events,https://www.brazildestination.com.br/eng,C1;C3;C5;C6;C7,"DMC since 1986; Congress & Convention, Trade Mission, Special Interest Tours, international clients."
S018,Brazil Destination Marketing,official,Missões Técnicas e Comerciais,https://www.brazildestination.com.br/pt,C1;C3;C5;C6;C8,"Technical and commercial missions, hotel, transport, hospitality desks, technical assistance."
S019,Compass Brazil,official,MICE,https://compassbrazil.com/mice/,C1;C3;C5;C6;C7;C8,"С 1979; technical itineraries, planning process, agility, transport/convention facilities, post-trip support."
S020,Compass Brazil,official,Full Service DMC,https://compassbrazil.com/,C3;C6;C7,"Full-service DMC; incentives groups, leisure, congress & events."
S021,Be Brazil,official,BeBrazil DMC,https://www.bebrazildmc.com.br/,C3;C5;C6;C7;C8,"Meeting/event development, logistics, venue research, accommodation, ground services, corporate groups."
S022,BCD Meetings & Events Brazil,official,Brasil,https://bcdme.com/pt-br/,C3;C4;C5;C6;C7;C8,"Brazil team; attendee management, production, venues, technology; manager experience with 1 500–15 000 people."
S023,BCD Meetings & Events Brazil,official,Locations,https://bcdme.com/pt-br/localidades/,C3;C7,"Brazil office in São Paulo; LATAM/global office network."
S024,Liberty International Tourism Group,official,DMC Brazil,https://www.liberty-int.com/our-destinations/Brazil,C3;C4;C5;C6;C7;C8,"Corporate events, incentive, conferences, seamless logistics, global network."
S025,Ovation Global DMC Brazil,official,Brazil DMC for Corporate Events,https://ovationdmc.com/destinations/brazil/,C3;C4;C5;C6;C7;C8,"São Paulo team; corporate meetings, venue sourcing, ground transport, event production."
S026,Passion Brazil,official,Special Events,https://passionbrazil.com/special-events/,C3;C5;C6;C7;C8,"С 2004; dedicated team for events, incentives, custom groups; foreign companies."
S027,Golden Latin DMC / Golden Corporate,official,Golden Corporate,https://goldenlatin.com/golden-corporate/,C3;C4;C5;C6;C7,"Trade-only DMC; meetings, conferences, logistics, group coordination, suppliers, on-site operations."
S028,YourBrasil,official,DMC Brasil para Agências de Viagens,https://yourbrasil.com/pt-br/partners/,C2;C3;C5;C6;C7,"White-label B2B, MICE, fleet coordination, multilingual guides, response within 48 business hours."
S029,DMC Incentives & Corporate Events,official,Serviços / Missões Internacionais,https://dmcie.com.br/servicos,C1;C3;C6,"Corporate events, incentive travel, international missions, live marketing."
S030,DMC Incentives & Corporate Events,official,Sobre a DMC,https://dmcie.com.br/sobre,C4;C5;C6;C8,"27 лет рынка, 500+ corporate/incentive events, авторское руководство."
S031,Go Together DMC,official,DMC Brazil,https://gotogether.com.br/dmc-brazil/,C1;C3;C5;C6;C7;C8,"10+ лет MICE, executive programs, Learning Programs, fairs/events, operational precision."
S032,Grupo GT5,official,PCO & DMC,https://gt5.com.br/,C3;C4;C5;C6;C7;C8,"PCO + DMC; congresses, conventions, incentives, suppliers, staff, logistics and events of any dimension."
